Cincinnati: 0 NY Mets: 0 12:10 PM ET
San Diego: 0 Atlanta: 0 12:10 PM ET
Houston: 0 Minnesota: 0 1:00 PM ET
Colorado: 0 Milwaukee: 0 1:10 PM ET
Tampa Bay: 0 Kansas City: 0 2:15 PM ET
St. Louis: 0 Washington: 0 4:05 PM ET
Boston: 0 Chicago Sox: 0 8:10 PM ET
Toronto: 0 LA Angels: 0 10:07 PM ET
